               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.021097,           0.0084037,           0.0079252,             0.99879,             0.99997,             0.99499,             0.94425,            0.012051,            0.003977,           0.0044769,            0.006634,            0.006634,            0.006634
                  53,            0.021257,           0.0085609,           0.0084942,             0.99876,             0.99997,             0.99499,             0.94483,            0.012037,           0.0039731,           0.0044587,            0.006568,            0.006568,            0.006568
                  54,            0.021242,           0.0085085,           0.0085056,             0.99874,             0.99994,             0.99499,             0.94488,            0.012023,           0.0039656,           0.0044399,            0.006502,            0.006502,            0.006502
                  55,             0.02106,           0.0085372,           0.0080038,             0.99873,             0.99993,             0.99499,             0.94531,            0.012011,           0.0039585,           0.0044238,            0.006436,            0.006436,            0.006436
                  56,            0.020811,           0.0083896,           0.0077654,             0.99872,             0.99993,             0.99499,             0.94562,            0.011994,           0.0039534,           0.0044072,             0.00637,             0.00637,             0.00637
                  57,            0.020573,           0.0082492,           0.0076674,             0.99872,             0.99993,             0.99499,             0.94595,            0.011971,           0.0039438,           0.0043924,            0.006304,            0.006304,            0.006304
                  58,             0.02085,           0.0084172,            0.007887,             0.99875,             0.99989,             0.99499,             0.94571,            0.011967,           0.0039401,            0.004378,            0.006238,            0.006238,            0.006238
                  59,            0.020574,           0.0083476,           0.0076213,             0.99875,             0.99986,             0.99499,             0.94588,            0.011945,           0.0039381,           0.0043641,            0.006172,            0.006172,            0.006172
                  60,            0.020194,            0.008152,           0.0074758,             0.99874,             0.99987,             0.99499,             0.94648,             0.01193,           0.0039353,           0.0043499,            0.006106,            0.006106,            0.006106
                  61,            0.020307,           0.0083427,           0.0079543,             0.99875,             0.99995,             0.99499,             0.94655,            0.011907,           0.0039303,           0.0043354,             0.00604,             0.00604,             0.00604
                  62,             0.02058,           0.0083592,           0.0078236,             0.99874,             0.99997,             0.99499,             0.94632,            0.011904,           0.0039282,           0.0043207,            0.005974,            0.005974,            0.005974
                  63,            0.020111,           0.0081524,           0.0074571,             0.99875,             0.99996,             0.99499,             0.94668,            0.011891,           0.0039222,           0.0043078,            0.005908,            0.005908,            0.005908
                  64,            0.020256,           0.0082531,           0.0076919,             0.99874,             0.99991,             0.99499,             0.94682,            0.011879,           0.0039165,           0.0042956,            0.005842,            0.005842,            0.005842
                  65,            0.019895,           0.0080585,           0.0071019,             0.99874,              0.9999,             0.99499,               0.947,            0.011865,           0.0039089,           0.0042834,            0.005776,            0.005776,            0.005776
                  66,            0.020129,           0.0082438,           0.0080837,             0.99874,             0.99985,             0.99499,             0.94709,            0.011865,           0.0039059,           0.0042716,             0.00571,             0.00571,             0.00571
                  67,            0.020221,           0.0082548,           0.0077771,             0.99873,             0.99985,             0.99499,             0.94677,            0.011857,           0.0039033,           0.0042595,            0.005644,            0.005644,            0.005644
                  68,            0.020315,           0.0082974,           0.0074208,             0.99874,             0.99986,             0.99499,             0.94721,            0.011863,           0.0038987,            0.004243,            0.005578,            0.005578,            0.005578
                  69,             0.01973,           0.0080377,           0.0069872,             0.99874,             0.99987,             0.99499,             0.94796,             0.01186,           0.0038936,           0.0042297,            0.005512,            0.005512,            0.005512
                  70,            0.019749,             0.00808,           0.0072815,             0.99875,             0.99989,             0.99499,              0.9481,            0.011842,           0.0038847,           0.0042164,            0.005446,            0.005446,            0.005446
                  71,            0.019709,           0.0080367,            0.007324,             0.99874,             0.99987,             0.99499,             0.94851,            0.011824,           0.0038793,           0.0042038,             0.00538,             0.00538,             0.00538
                  72,            0.019538,           0.0079301,           0.0070988,             0.99874,             0.99987,             0.99499,             0.94858,             0.01181,            0.003873,           0.0041909,            0.005314,            0.005314,            0.005314
                  73,            0.019582,           0.0080152,           0.0070094,             0.99872,             0.99987,             0.99499,             0.94835,            0.011793,           0.0038662,           0.0041777,            0.005248,            0.005248,            0.005248
                  74,            0.019327,           0.0078825,           0.0067596,             0.99871,             0.99989,             0.99499,             0.94852,            0.011778,            0.003858,           0.0041657,            0.005182,            0.005182,            0.005182
                  75,            0.019175,           0.0078924,           0.0068046,             0.99872,             0.99989,             0.99499,             0.94904,            0.011756,           0.0038505,           0.0041524,            0.005116,            0.005116,            0.005116
                  76,            0.019177,           0.0078861,           0.0065799,             0.99871,             0.99992,             0.99499,             0.94939,            0.011746,           0.0038444,           0.0041388,             0.00505,             0.00505,             0.00505
                  77,            0.018938,           0.0077313,             0.00649,             0.99871,             0.99992,             0.99499,             0.94985,            0.011719,            0.003835,           0.0041266,            0.004984,            0.004984,            0.004984
                  78,            0.018841,           0.0077902,           0.0070818,             0.99872,                   1,             0.99499,             0.95032,            0.011696,           0.0038275,            0.004114,            0.004918,            0.004918,            0.004918
                  79,            0.019242,           0.0079781,           0.0075001,             0.99871,                   1,             0.99499,             0.95044,            0.011689,           0.0038184,           0.0041005,            0.004852,            0.004852,            0.004852
                  80,            0.018886,            0.007799,           0.0068988,             0.99871,                   1,             0.99499,             0.95045,            0.011684,           0.0038139,           0.0040873,            0.004786,            0.004786,            0.004786
                  81,            0.018933,           0.0078558,           0.0066933,             0.99871,                   1,             0.99499,             0.95105,            0.011674,           0.0038043,           0.0040743,             0.00472,             0.00472,             0.00472
                  82,            0.018694,           0.0077035,            0.006474,             0.99871,             0.99999,             0.99499,             0.95149,            0.011669,           0.0037954,           0.0040628,            0.004654,            0.004654,            0.004654
                  83,             0.01853,           0.0076993,           0.0065243,             0.99871,             0.99999,             0.99499,              0.9518,            0.011661,           0.0037919,           0.0040506,            0.004588,            0.004588,            0.004588
                  84,            0.018492,           0.0077058,           0.0066592,             0.99873,             0.99999,             0.99499,             0.95212,            0.011647,           0.0037819,           0.0040386,            0.004522,            0.004522,            0.004522
                  85,            0.018418,           0.0075686,           0.0064404,             0.99873,             0.99999,             0.99499,             0.95229,            0.011617,           0.0037726,           0.0040263,            0.004456,            0.004456,            0.004456
                  86,            0.018086,           0.0075296,           0.0062439,             0.99873,             0.99999,             0.99499,             0.95225,            0.011596,           0.0037684,           0.0040135,             0.00439,             0.00439,             0.00439
                  87,            0.018428,           0.0075814,           0.0064771,             0.99872,             0.99999,             0.99499,             0.95273,            0.011578,           0.0037594,           0.0040014,            0.004324,            0.004324,            0.004324
                  88,            0.018399,           0.0077694,           0.0065428,             0.99874,             0.99998,             0.99499,             0.95313,            0.011563,           0.0037524,           0.0039874,            0.004258,            0.004258,            0.004258
                  89,            0.018091,           0.0075516,            0.006341,             0.99873,             0.99998,             0.99499,             0.95307,            0.011539,           0.0037417,           0.0039751,            0.004192,            0.004192,            0.004192
